Date,P,ET,Qobs
01/10/2011 00:00,0,0,0.0425
01/10/2011 01:00,0,0,0.042
01/10/2011 02:00,0,0,0.042
01/10/2011 03:00,0,0.0148485,0.042
01/10/2011 04:00,0,0.0121015,0.042
01/10/2011 05:00,0,0.01711075,0.04
01/10/2011 06:00,0,0.0151445,0.039
01/10/2011 07:00,0,0.00947025,0.04
01/10/2011 08:00,0,0.0449695,0.04
01/10/2011 09:00,0,0.1110865,0.039
01/10/2011 10:00,0,0.14379125,0.038
01/10/2011 11:00,0,0.137296,0.038
01/10/2011 12:00,0,0.24286825,0.037
01/10/2011 13:00,0,0.2529155,0.04
01/10/2011 14:00,0,0.31594875,0.039
01/10/2011 15:00,0,0.1881255,0.039
01/10/2011 16:00,0,0.052465,0.04
01/10/2011 17:00,0,0,0.04
01/10/2011 18:00,0,0.0207795,0.04
01/10/2011 19:00,0,0.01386075,0.04
01/10/2011 20:00,0,0.038642,0.039
01/10/2011 21:00,0,0.0409465,0.04
01/10/2011 22:00,0,0.0348135,0.039
01/10/2011 23:00,0,0.04842275,0.04
02/10/2011 00:00,0,0.04162575,0.038
02/10/2011 01:00,0,0.04117275,0.039
02/10/2011 02:00,0,0.029039,0.039
02/10/2011 03:00,0,0.00979825,0.039
02/10/2011 04:00,0.292651757,0.00536325,0.038
02/10/2011 05:00,0,0.0057045,0.038
02/10/2011 06:00,0,0.01713025,0.039
02/10/2011 07:00,0,0.0309785,0.039
02/10/2011 08:00,0,0.0562825,0.038
02/10/2011 09:00,0,0.0633215,0.037
02/10/2011 10:00,0,0.0651515,0.038
02/10/2011 11:00,0,0.06238325,0.036
02/10/2011 12:00,0,0.066419,0.038
02/10/2011 13:00,0,0.09265275,0.036
02/10/2011 14:00,0,0.04538225,0.036
02/10/2011 15:00,0.092651757,0.022188,0.039
02/10/2011 16:00,0.307348243,0.0302015,0.038
02/10/2011 17:00,0,0.01364075,0.038
02/10/2011 18:00,0,0.00590775,0.038
02/10/2011 19:00,0,0.00705375,0.037
02/10/2011 20:00,0.162140575,0.00161825,0.039
02/10/2011 21:00,0,0.00080025,0.038
02/10/2011 22:00,0,0.00394575,0.038
02/10/2011 23:00,0,0.0054975,0.038
03/10/2011 00:00,0.145207668,0.007021,0.036
03/10/2011 01:00,0.2,0.0036995,0.039
03/10/2011 02:00,0,0.00422925,0.038
03/10/2011 03:00,0,0.006824,0.039
03/10/2011 04:00,0,0.008497,0.036
03/10/2011 05:00,0,0.0044955,0.038
03/10/2011 06:00,0,0.00562225,0.039
03/10/2011 07:00,0,0.00905375,0.039
03/10/2011 08:00,0,0.026561,0.038
03/10/2011 09:00,0,0.0351685,0.038
03/10/2011 10:00,0,0.041878,0.038
03/10/2011 11:00,0.252555911,0.06812225,0.036
03/10/2011 12:00,0.2,0.16836325,0.036
03/10/2011 13:00,0,0.1087055,0.038
03/10/2011 14:00,0.292651757,0.07931875,0.037
03/10/2011 15:00,0,0.113761,0.036
03/10/2011 16:00,0,0.049827,0.038
03/10/2011 17:00,0,0.03527825,0.039
03/10/2011 18:00,0,0.03574175,0.039
03/10/2011 19:00,0,0.01545675,0.037
03/10/2011 20:00,0,0.04757225,0.036
03/10/2011 21:00,0,0.032724,0.036
03/10/2011 22:00,0,0.00546525,0.035
03/10/2011 23:00,0,0.024657,0.034
04/10/2011 00:00,0,0.02923225,0.034
04/10/2011 01:00,0,0.043514,0.034
04/10/2011 02:00,0,0.0422395,0.034
04/10/2011 03:00,0,0.05549225,0.034
04/10/2011 04:00,0,0.05553025,0.031
04/10/2011 05:00,0,0.055509,0.031
04/10/2011 06:00,0,0.06001175,0.031
04/10/2011 07:00,0,0.06530475,0.031
04/10/2011 08:00,0,0.0799915,0.031
04/10/2011 09:00,0,0.12585075,0.032
04/10/2011 10:00,0,0.144849,0.031
04/10/2011 11:00,0,0.12252225,0.031
04/10/2011 12:00,0,0.10960925,0.031
04/10/2011 13:00,0,0.090843,0.031
04/10/2011 14:00,0,0.08108125,0.033
04/10/2011 15:00,0,0.07107075,0.031
04/10/2011 16:00,0,0.080067,0.032
04/10/2011 17:00,0,0.066742,0.032
04/10/2011 18:00,0,0.04607175,0.033
